,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1041,17/12/2006,10:45:00,5.070,0.416,234.440,21.800,37.000,23.000,17.0
1042,17/12/2006,10:46:00,5.488,0.396,234.810,23.400,38.000,27.000,16.0
1043,17/12/2006,10:47:00,5.898,0.404,233.850,25.200,36.000,36.000,17.0
1044,17/12/2006,10:48:00,5.026,0.382,232.730,22.000,25.000,35.000,17.0
1052,17/12/2006,10:56:00,5.568,0.106,234.010,23.800,1.000,71.000,17.0
1054,17/12/2006,10:58:00,5.066,0.112,234.540,21.600,1.000,62.000,17.0
1055,17/12/2006,10:59:00,5.570,0.154,232.910,23.800,1.000,70.000,17.0
1325,17/12/2006,15:29:00,5.570,0.076,237.770,23.400,1.000,0.000,17.0
1493,17/12/2006,18:17:00,6.254,0.118,233.690,26.600,0.000,0.000,17.0
1494,17/12/2006,18:18:00,6.204,0.116,232.700,26.600,0.000,0.000,16.0
2300,18/12/2006,07:44:00,5.166,0.174,237.500,21.800,0.000,0.000,17.0
3006,18/12/2006,19:30:00,5.436,0.408,230.940,23.800,0.000,36.000,0.0
3007,18/12/2006,19:31:00,6.158,0.442,229.080,27.000,0.000,36.000,0.0
3684,19/12/2006,06:48:00,5.244,0.000,238.330,22.000,0.000,0.000,0.0
3798,19/12/2006,08:42:00,5.808,0.156,234.220,24.800,37.000,33.000,17.0
3799,19/12/2006,08:43:00,5.354,0.106,234.170,23.000,37.000,34.000,17.0
3800,19/12/2006,08:44:00,5.470,0.090,235.160,23.400,38.000,31.000,17.0
3801,19/12/2006,08:45:00,5.536,0.094,234.520,23.600,37.000,36.000,16.0
3802,19/12/2006,08:46:00,6.662,0.068,233.580,29.200,37.000,49.000,17.0
3803,19/12/2006,08:47:00,7.828,0.182,232.200,33.600,36.000,72.000,17.0
3804,19/12/2006,08:48:00,7.840,0.188,232.550,33.600,36.000,71.000,16.0
3805,19/12/2006,08:49:00,7.818,0.202,232.220,33.600,37.000,71.000,17.0
3806,19/12/2006,08:50:00,7.816,0.184,232.390,33.600,36.000,71.000,16.0
3807,19/12/2006,08:51:00,6.498,0.238,234.400,28.000,15.000,73.000,17.0
3808,19/12/2006,08:52:00,5.768,0.228,234.620,24.600,0.000,72.000,17.0
3809,19/12/2006,08:53:00,5.774,0.222,233.740,24.600,2.000,72.000,17.0
3810,19/12/2006,08:54:00,6.964,0.188,231.970,30.200,20.000,71.000,16.0
3811,19/12/2006,08:55:00,7.746,0.194,231.240,33.400,37.000,71.000,17.0
3812,19/12/2006,08:56:00,6.780,0.198,232.850,29.400,21.000,71.000,16.0
3813,19/12/2006,08:57:00,5.814,0.256,235.900,24.600,0.000,73.000,17.0
3815,19/12/2006,08:59:00,5.024,0.238,236.680,21.600,23.000,36.000,18.0
3816,19/12/2006,09:00:00,5.994,0.208,235.950,25.800,38.000,38.000,17.0
3817,19/12/2006,09:01:00,5.828,0.164,235.740,24.600,37.000,39.000,17.0
3818,19/12/2006,09:02:00,5.680,0.124,234.790,24.200,37.000,37.000,17.0
3819,19/12/2006,09:03:00,5.494,0.124,235.340,23.400,37.000,34.000,17.0
3821,19/12/2006,09:05:00,5.698,0.098,234.290,24.200,37.000,37.000,17.0
3822,19/12/2006,09:06:00,5.668,0.000,235.420,24.000,37.000,36.000,17.0
4494,19/12/2006,20:18:00,5.342,0.406,236.750,23.000,0.000,35.000,0.0
4495,19/12/2006,20:19:00,5.586,0.424,236.010,23.800,0.000,35.000,0.0
4500,19/12/2006,20:24:00,5.150,0.578,238.970,21.800,0.000,37.000,0.0
5197,20/12/2006,08:01:00,5.166,0.180,236.460,22.200,0.000,27.000,17.0
5198,20/12/2006,08:02:00,5.646,0.058,237.300,23.800,0.000,38.000,17.0
5199,20/12/2006,08:03:00,5.892,0.052,236.690,24.800,0.000,37.000,17.0
5200,20/12/2006,08:04:00,5.974,0.048,235.810,25.200,0.000,38.000,18.0
5201,20/12/2006,08:05:00,5.988,0.050,236.460,25.200,0.000,37.000,17.0
5202,20/12/2006,08:06:00,5.924,0.000,234.510,25.200,0.000,38.000,17.0
5203,20/12/2006,08:07:00,5.768,0.000,236.370,24.400,0.000,37.000,17.0
5204,20/12/2006,08:08:00,5.718,0.050,236.460,24.200,0.000,38.000,17.0
5205,20/12/2006,08:09:00,5.758,0.130,236.490,24.200,0.000,38.000,17.0
5206,20/12/2006,08:10:00,5.756,0.130,236.630,24.200,0.000,38.000,17.0
5207,20/12/2006,08:11:00,5.728,0.128,236.170,24.200,0.000,38.000,17.0
5208,20/12/2006,08:12:00,5.416,0.136,237.440,22.800,0.000,38.000,17.0
5209,20/12/2006,08:13:00,5.260,0.136,237.000,22.200,0.000,38.000,18.0
5210,20/12/2006,08:14:00,5.320,0.138,237.340,22.400,0.000,38.000,17.0
5906,20/12/2006,19:50:00,5.672,0.000,233.810,24.200,0.000,0.000,17.0
5907,20/12/2006,19:51:00,5.742,0.066,233.430,24.600,0.000,0.000,16.0
5908,20/12/2006,19:52:00,5.760,0.098,233.530,24.600,0.000,0.000,17.0
6613,21/12/2006,07:37:00,5.276,0.076,238.010,22.000,0.000,0.000,0.0
7355,21/12/2006,19:59:00,5.854,0.572,232.590,25.400,37.000,0.000,0.0
7356,21/12/2006,20:00:00,5.406,0.512,233.130,23.400,37.000,0.000,0.0
7363,21/12/2006,20:07:00,5.614,0.424,230.040,24.400,37.000,0.000,0.0
7364,21/12/2006,20:08:00,5.296,0.346,228.910,23.200,35.000,1.000,0.0
8014,22/12/2006,06:58:00,5.170,0.176,238.880,22.200,0.000,0.000,0.0
8015,22/12/2006,06:59:00,5.208,0.128,239.020,21.800,0.000,0.000,0.0
8838,22/12/2006,20:42:00,5.148,0.162,233.310,22.200,32.000,2.000,16.0
8839,22/12/2006,20:43:00,5.032,0.162,233.070,21.600,37.000,1.000,17.0
8844,22/12/2006,20:48:00,5.168,0.160,232.680,22.200,36.000,1.000,17.0
8845,22/12/2006,20:49:00,5.362,0.160,232.750,23.000,37.000,1.000,17.0
8846,22/12/2006,20:50:00,5.504,0.158,232.500,23.600,36.000,2.000,16.0
8847,22/12/2006,20:51:00,5.408,0.214,232.560,23.200,37.000,1.000,17.0
8848,22/12/2006,20:52:00,5.390,0.252,232.110,23.200,36.000,1.000,16.0
8849,22/12/2006,20:53:00,5.388,0.252,232.360,23.200,36.000,1.000,17.0
8883,22/12/2006,21:27:00,6.906,0.078,231.030,30.400,20.000,0.000,16.0
8884,22/12/2006,21:28:00,7.884,0.136,230.390,34.200,36.000,0.000,16.0
8885,22/12/2006,21:29:00,7.698,0.144,231.400,33.200,36.000,0.000,17.0
8886,22/12/2006,21:30:00,7.620,0.148,231.610,32.800,36.000,0.000,16.0
8887,22/12/2006,21:31:00,7.602,0.148,231.240,32.800,36.000,0.000,17.0
8888,22/12/2006,21:32:00,7.620,0.150,231.590,32.800,36.000,0.000,16.0
8889,22/12/2006,21:33:00,7.684,0.134,232.220,33.000,36.000,0.000,17.0
8890,22/12/2006,21:34:00,7.738,0.128,232.430,33.200,36.000,0.000,16.0
8891,22/12/2006,21:35:00,7.564,0.124,231.670,32.600,36.000,0.000,17.0
8892,22/12/2006,21:36:00,7.524,0.120,230.900,32.600,36.000,0.000,16.0
8893,22/12/2006,21:37:00,7.612,0.120,230.540,33.000,36.000,0.000,16.0
8894,22/12/2006,21:38:00,7.552,0.084,231.180,32.600,36.000,0.000,17.0
8895,22/12/2006,21:39:00,7.322,0.068,230.760,31.600,35.000,0.000,16.0
8896,22/12/2006,21:40:00,7.050,0.000,232.330,30.200,36.000,0.000,17.0
8897,22/12/2006,21:41:00,6.608,0.000,232.310,28.600,31.000,0.000,16.0
8911,22/12/2006,21:55:00,5.062,0.000,234.570,21.600,0.000,0.000,17.0
8912,22/12/2006,21:56:00,5.010,0.070,234.700,21.200,0.000,0.000,16.0
9459,23/12/2006,07:03:00,6.808,0.000,235.010,29.000,0.000,0.000,0.0
9460,23/12/2006,07:04:00,6.008,0.000,236.330,25.400,0.000,0.000,0.0
9511,23/12/2006,07:55:00,5.032,0.078,237.880,21.000,0.000,0.000,18.0
9512,23/12/2006,07:56:00,5.034,0.078,237.970,21.000,0.000,0.000,17.0
9513,23/12/2006,07:57:00,5.076,0.080,238.840,21.200,0.000,0.000,18.0
9514,23/12/2006,07:58:00,5.084,0.084,239.280,21.200,0.000,0.000,17.0
9528,23/12/2006,08:12:00,5.130,0.150,237.670,21.600,0.000,2.000,17.0
9538,23/12/2006,08:22:00,5.078,0.000,235.800,21.400,0.000,1.000,17.0
9539,23/12/2006,08:23:00,5.286,0.000,235.530,22.400,0.000,1.000,17.0
9540,23/12/2006,08:24:00,5.360,0.000,237.470,22.400,0.000,1.000,17.0
9541,23/12/2006,08:25:00,5.534,0.070,238.470,23.200,0.000,2.000,18.0
9542,23/12/2006,08:26:00,5.722,0.120,239.410,23.800,0.000,1.000,17.0
9543,23/12/2006,08:27:00,5.706,0.122,239.880,23.800,0.000,1.000,18.0
9544,23/12/2006,08:28:00,5.632,0.068,240.240,23.400,0.000,0.000,18.0
9545,23/12/2006,08:29:00,5.198,0.074,239.590,21.600,0.000,0.000,17.0
9550,23/12/2006,08:34:00,5.280,0.178,238.270,22.200,0.000,0.000,17.0
9923,23/12/2006,14:47:00,5.268,0.348,239.490,22.200,0.000,0.000,17.0
9968,23/12/2006,15:32:00,5.982,0.262,239.160,25.600,0.000,1.000,17.0
9969,23/12/2006,15:33:00,7.282,0.394,239.290,30.400,0.000,1.000,18.0
10054,23/12/2006,16:58:00,6.670,0.066,238.120,28.200,23.000,0.000,17.0
10055,23/12/2006,16:59:00,7.314,0.054,235.820,31.000,38.000,0.000,17.0
10056,23/12/2006,17:00:00,6.958,0.058,235.920,29.400,37.000,0.000,17.0
10057,23/12/2006,17:01:00,6.730,0.068,235.860,28.400,38.000,0.000,17.0
10058,23/12/2006,17:02:00,6.690,0.058,235.690,28.200,37.000,0.000,17.0
10059,23/12/2006,17:03:00,6.634,0.078,235.790,28.000,38.000,0.000,17.0
10060,23/12/2006,17:04:00,7.010,0.246,233.590,30.000,37.000,0.000,17.0
10061,23/12/2006,17:05:00,6.690,0.150,234.180,28.400,37.000,0.000,17.0
10062,23/12/2006,17:06:00,6.308,0.150,233.730,27.200,36.000,0.000,17.0
10063,23/12/2006,17:07:00,5.148,0.230,234.590,22.000,37.000,0.000,16.0
10064,23/12/2006,17:08:00,5.788,0.254,234.430,25.000,37.000,0.000,17.0
10065,23/12/2006,17:09:00,7.040,0.236,232.170,30.200,37.000,0.000,17.0
10066,23/12/2006,17:10:00,6.890,0.234,231.270,29.800,35.000,0.000,16.0
10067,23/12/2006,17:11:00,5.036,0.246,232.360,21.800,6.000,0.000,17.0
10086,23/12/2006,17:30:00,5.006,0.266,233.770,21.400,1.000,2.000,17.0
10100,23/12/2006,17:44:00,6.374,0.352,232.280,28.000,31.000,1.000,17.0
10101,23/12/2006,17:45:00,7.022,0.344,232.010,30.200,36.000,1.000,17.0
10102,23/12/2006,17:46:00,7.024,0.346,232.360,30.200,36.000,2.000,16.0
10103,23/12/2006,17:47:00,7.072,0.352,233.430,30.200,37.000,1.000,17.0
10104,23/12/2006,17:48:00,7.054,0.352,233.110,30.200,37.000,1.000,16.0
10105,23/12/2006,17:49:00,6.926,0.240,232.070,29.800,36.000,0.000,17.0
10106,23/12/2006,17:50:00,6.934,0.234,232.200,29.800,36.000,0.000,16.0
10107,23/12/2006,17:51:00,7.006,0.238,233.140,30.000,36.000,0.000,17.0
10108,23/12/2006,17:52:00,6.966,0.236,232.800,29.800,37.000,0.000,17.0
10109,23/12/2006,17:53:00,6.492,0.246,234.250,27.800,36.000,0.000,17.0
10110,23/12/2006,17:54:00,5.148,0.262,236.210,21.800,38.000,0.000,17.0
10111,23/12/2006,17:55:00,6.638,0.248,235.240,28.400,37.000,0.000,17.0
10112,23/12/2006,17:56:00,7.164,0.172,234.700,30.400,36.000,0.000,17.0
10113,23/12/2006,17:57:00,6.950,0.082,234.570,29.600,37.000,0.000,16.0
10114,23/12/2006,17:58:00,5.472,0.048,236.010,23.600,16.000,0.000,18.0
10163,23/12/2006,18:47:00,5.022,0.078,237.340,21.000,0.000,0.000,18.0
10172,23/12/2006,18:56:00,5.218,0.252,236.940,22.000,0.000,0.000,18.0
10173,23/12/2006,18:57:00,5.262,0.264,237.710,22.000,0.000,0.000,17.0
10174,23/12/2006,18:58:00,5.258,0.306,236.290,22.200,0.000,0.000,17.0
10175,23/12/2006,18:59:00,5.270,0.372,235.570,22.400,0.000,1.000,17.0
10176,23/12/2006,19:00:00,5.314,0.376,236.460,22.400,0.000,1.000,17.0
10177,23/12/2006,19:01:00,5.312,0.380,236.700,22.400,0.000,2.000,17.0
10178,23/12/2006,19:02:00,5.140,0.386,237.420,21.800,0.000,1.000,18.0
10181,23/12/2006,19:05:00,5.298,0.378,236.340,22.400,0.000,2.000,17.0
10182,23/12/2006,19:06:00,5.280,0.374,235.690,22.400,0.000,1.000,17.0
10183,23/12/2006,19:07:00,5.392,0.296,235.930,22.800,0.000,1.000,17.0
10208,23/12/2006,19:32:00,5.000,0.344,237.910,21.000,0.000,0.000,17.0
10246,23/12/2006,20:10:00,6.056,0.464,237.250,25.800,0.000,0.000,17.0
10247,23/12/2006,20:11:00,6.230,0.428,237.580,26.200,0.000,0.000,18.0
10248,23/12/2006,20:12:00,5.536,0.332,238.560,23.400,0.000,0.000,17.0
10249,23/12/2006,20:13:00,5.428,0.200,238.420,23.000,0.000,0.000,17.0
10349,23/12/2006,21:53:00,5.352,0.502,235.350,22.800,0.000,0.000,0.0
10350,23/12/2006,21:54:00,5.304,0.456,234.890,22.600,0.000,0.000,0.0
10351,23/12/2006,21:55:00,5.282,0.428,235.230,22.400,0.000,0.000,0.0
10380,23/12/2006,22:24:00,5.162,0.332,238.030,22.000,39.000,0.000,0.0
10381,23/12/2006,22:25:00,6.074,0.318,236.640,25.600,38.000,0.000,0.0
10382,23/12/2006,22:26:00,6.272,0.320,237.390,26.400,38.000,0.000,0.0
10383,23/12/2006,22:27:00,6.150,0.318,237.120,25.800,38.000,0.000,0.0
10384,23/12/2006,22:28:00,6.086,0.318,237.020,25.600,39.000,0.000,0.0
10385,23/12/2006,22:29:00,6.110,0.320,237.510,25.600,38.000,0.000,0.0
10386,23/12/2006,22:30:00,6.096,0.318,237.250,25.600,39.000,0.000,0.0
10387,23/12/2006,22:31:00,6.098,0.320,237.300,25.600,38.000,0.000,0.0
10388,23/12/2006,22:32:00,5.006,0.332,238.740,21.400,39.000,0.000,0.0
10391,23/12/2006,22:35:00,6.772,0.312,236.710,29.000,39.000,0.000,0.0
10392,23/12/2006,22:36:00,8.698,0.296,234.370,37.000,37.000,0.000,0.0
10393,23/12/2006,22:37:00,8.632,0.288,234.020,36.800,38.000,1.000,0.0
10394,23/12/2006,22:38:00,7.548,0.394,235.020,32.400,19.000,1.000,0.0
10395,23/12/2006,22:39:00,5.330,0.416,237.540,23.200,1.000,2.000,0.0
10397,23/12/2006,22:41:00,5.246,0.420,238.250,22.600,21.000,2.000,0.0
10403,23/12/2006,22:47:00,5.370,0.322,238.180,23.000,25.000,1.000,0.0
10404,23/12/2006,22:48:00,6.144,0.408,237.350,25.800,38.000,1.000,0.0
10405,23/12/2006,22:49:00,5.892,0.370,238.380,24.800,36.000,2.000,0.0
10423,23/12/2006,23:07:00,5.340,0.226,238.590,22.400,0.000,0.000,18.0
10424,23/12/2006,23:08:00,5.334,0.226,238.810,22.200,0.000,0.000,18.0
10425,23/12/2006,23:09:00,5.328,0.228,238.990,22.200,0.000,0.000,18.0
10428,23/12/2006,23:12:00,5.120,0.096,238.690,21.400,0.000,0.000,18.0
10429,23/12/2006,23:13:00,5.152,0.098,239.690,21.400,0.000,0.000,17.0
10430,23/12/2006,23:14:00,5.172,0.100,240.290,21.400,0.000,0.000,18.0
10431,23/12/2006,23:15:00,5.162,0.100,240.040,21.400,0.000,0.000,18.0
10432,23/12/2006,23:16:00,5.150,0.100,239.790,21.400,0.000,0.000,17.0
10433,23/12/2006,23:17:00,5.224,0.202,239.420,21.800,0.000,0.000,18.0
10436,23/12/2006,23:20:00,6.012,0.058,239.430,25.400,39.000,0.000,17.0
10437,23/12/2006,23:21:00,6.932,0.050,238.710,29.000,38.000,0.000,18.0
10438,23/12/2006,23:22:00,6.958,0.054,238.350,29.200,38.000,0.000,17.0
10439,23/12/2006,23:23:00,6.972,0.048,238.380,29.200,39.000,0.000,17.0
10440,23/12/2006,23:24:00,6.936,0.082,238.360,29.000,38.000,0.000,18.0
10441,23/12/2006,23:25:00,7.018,0.180,238.710,29.400,38.000,0.000,17.0
10442,23/12/2006,23:26:00,7.010,0.180,238.590,29.400,38.000,0.000,18.0
10443,23/12/2006,23:27:00,6.944,0.130,238.100,29.000,38.000,0.000,17.0
10444,23/12/2006,23:28:00,5.578,0.086,238.580,23.600,39.000,0.000,18.0
10449,23/12/2006,23:33:00,5.032,0.102,240.290,21.000,2.000,0.000,17.0
10450,23/12/2006,23:34:00,6.954,0.086,238.780,29.000,39.000,0.000,18.0
10451,23/12/2006,23:35:00,7.144,0.078,239.240,29.800,38.000,0.000,17.0
10454,23/12/2006,23:38:00,6.504,0.084,239.620,27.400,5.000,0.000,17.0
10455,23/12/2006,23:39:00,8.334,0.064,237.950,35.000,38.000,0.000,17.0
10456,23/12/2006,23:40:00,8.304,0.066,238.750,34.800,39.000,0.000,18.0
10457,23/12/2006,23:41:00,8.284,0.064,238.170,34.800,38.000,0.000,17.0
10458,23/12/2006,23:42:00,7.714,0.070,238.660,32.200,38.000,0.000,18.0
10459,23/12/2006,23:43:00,7.232,0.074,238.880,30.200,38.000,0.000,17.0
10460,23/12/2006,23:44:00,7.232,0.072,238.490,30.200,38.000,0.000,18.0
10461,23/12/2006,23:45:00,6.138,0.086,239.950,26.000,38.000,0.000,17.0
10464,23/12/2006,23:48:00,8.240,0.060,237.630,35.200,0.000,0.000,18.0
10465,23/12/2006,23:49:00,8.570,0.096,237.240,36.200,1.000,0.000,17.0
10466,23/12/2006,23:50:00,7.946,0.054,237.870,33.400,0.000,0.000,17.0
10467,23/12/2006,23:51:00,7.970,0.052,237.750,33.400,0.000,0.000,17.0
10468,23/12/2006,23:52:00,6.978,0.086,239.180,29.400,0.000,0.000,18.0
10469,23/12/2006,23:53:00,5.490,0.076,240.660,23.200,0.000,0.000,18.0
10473,23/12/2006,23:57:00,5.574,0.054,242.280,23.000,0.000,0.000,18.0
10474,23/12/2006,23:58:00,5.480,0.046,240.060,22.800,0.000,0.000,18.0
10475,23/12/2006,23:59:00,5.458,0.046,239.620,22.600,0.000,0.000,17.0
10476,24/12/2006,00:00:00,5.376,0.046,237.570,22.600,0.000,0.000,18.0
10477,24/12/2006,00:01:00,5.340,0.000,236.810,22.400,0.000,0.000,17.0
10480,24/12/2006,00:04:00,5.388,0.000,236.980,22.600,0.000,0.000,17.0
10481,24/12/2006,00:05:00,5.248,0.046,237.470,22.000,0.000,0.000,17.0
10483,24/12/2006,00:07:00,5.124,0.056,237.530,22.000,0.000,0.000,17.0
10551,24/12/2006,01:15:00,5.768,0.000,235.010,24.400,38.000,0.000,16.0
10553,24/12/2006,01:17:00,5.254,0.000,234.690,22.600,37.000,0.000,16.0
10554,24/12/2006,01:18:00,5.592,0.000,234.680,23.800,37.000,0.000,17.0
10556,24/12/2006,01:20:00,5.034,0.000,235.360,21.600,38.000,0.000,17.0
10557,24/12/2006,01:21:00,5.476,0.000,235.540,23.200,37.000,0.000,17.0
10597,24/12/2006,02:01:00,5.474,0.056,235.970,23.200,37.000,0.000,17.0
10598,24/12/2006,02:02:00,5.046,0.048,238.380,21.400,38.000,0.000,17.0
10600,24/12/2006,02:04:00,5.502,0.054,236.770,23.200,37.000,0.000,17.0
10601,24/12/2006,02:05:00,5.394,0.054,236.760,22.800,38.000,0.000,17.0
10603,24/12/2006,02:07:00,5.346,0.076,237.480,22.600,37.000,0.000,17.0
10604,24/12/2006,02:08:00,5.694,0.080,238.970,23.800,39.000,0.000,17.0
10607,24/12/2006,02:11:00,5.766,0.086,240.800,23.800,38.000,0.000,18.0
11025,24/12/2006,09:09:00,6.140,0.000,239.440,26.000,0.000,0.000,0.0
11187,24/12/2006,11:51:00,5.050,0.178,235.110,21.400,0.000,6.000,17.0
11253,24/12/2006,12:57:00,5.162,0.000,233.590,22.200,0.000,67.000,0.0
11254,24/12/2006,12:58:00,5.290,0.140,233.160,22.600,0.000,71.000,0.0
11255,24/12/2006,12:59:00,5.394,0.228,232.350,23.200,0.000,71.000,0.0
11256,24/12/2006,13:00:00,5.368,0.150,232.660,23.000,0.000,71.000,0.0
11257,24/12/2006,13:01:00,5.418,0.130,233.680,23.200,0.000,71.000,0.0
11258,24/12/2006,13:02:00,5.636,0.146,234.900,24.000,0.000,72.000,0.0
11259,24/12/2006,13:03:00,5.526,0.124,234.690,23.400,0.000,72.000,0.0
11260,24/12/2006,13:04:00,5.426,0.140,234.700,23.000,0.000,73.000,0.0
11261,24/12/2006,13:05:00,5.704,0.216,233.850,24.600,0.000,71.000,0.0
11262,24/12/2006,13:06:00,6.824,0.350,231.130,29.600,0.000,70.000,0.0
11263,24/12/2006,13:07:00,6.498,0.296,231.080,28.200,0.000,70.000,0.0
11264,24/12/2006,13:08:00,6.490,0.280,231.370,28.000,0.000,70.000,0.0
11265,24/12/2006,13:09:00,5.470,0.206,232.790,24.400,0.000,63.000,0.0
11428,24/12/2006,15:52:00,5.104,0.304,242.650,21.200,40.000,35.000,0.0
11430,24/12/2006,15:54:00,5.148,0.310,243.370,21.200,40.000,35.000,0.0
11447,24/12/2006,16:11:00,5.096,0.104,241.340,21.600,20.000,2.000,0.0
11448,24/12/2006,16:12:00,6.142,0.090,240.440,25.400,38.000,1.000,0.0
12391,25/12/2006,07:55:00,5.678,0.050,238.280,23.800,0.000,1.000,0.0
12622,25/12/2006,11:46:00,5.252,0.246,236.930,22.200,38.000,0.000,18.0
12623,25/12/2006,11:47:00,5.340,0.258,236.920,22.400,38.000,0.000,17.0
12624,25/12/2006,11:48:00,5.346,0.252,237.150,22.400,38.000,0.000,17.0
12625,25/12/2006,11:49:00,5.400,0.244,238.440,22.600,39.000,0.000,17.0
12626,25/12/2006,11:50:00,5.398,0.244,238.880,22.600,39.000,0.000,18.0
12628,25/12/2006,11:52:00,5.200,0.212,237.950,21.800,39.000,0.000,18.0
12629,25/12/2006,11:53:00,5.538,0.400,237.740,23.400,38.000,0.000,17.0
12630,25/12/2006,11:54:00,5.174,0.364,237.000,21.800,39.000,0.000,17.0
12631,25/12/2006,11:55:00,5.282,0.204,237.150,22.200,38.000,0.000,17.0
12633,25/12/2006,11:57:00,5.052,0.208,238.020,21.200,38.000,0.000,17.0
12638,25/12/2006,12:02:00,5.002,0.200,237.670,21.000,39.000,0.000,18.0
12641,25/12/2006,12:05:00,5.454,0.312,238.360,22.800,39.000,0.000,17.0
12643,25/12/2006,12:07:00,5.044,0.340,238.900,21.200,39.000,0.000,17.0
12731,25/12/2006,13:35:00,5.524,0.142,236.080,23.400,76.000,0.000,0.0
12732,25/12/2006,13:36:00,5.646,0.144,235.830,23.800,75.000,0.000,0.0
12733,25/12/2006,13:37:00,5.674,0.146,236.360,24.000,75.000,0.000,0.0
12734,25/12/2006,13:38:00,5.694,0.150,237.460,24.000,76.000,0.000,0.0
12735,25/12/2006,13:39:00,5.708,0.150,237.760,24.000,77.000,0.000,0.0
12736,25/12/2006,13:40:00,5.760,0.154,238.780,24.000,77.000,0.000,0.0
12737,25/12/2006,13:41:00,5.416,0.072,238.710,22.800,74.000,0.000,0.0
12882,25/12/2006,16:06:00,6.064,0.444,239.610,25.400,0.000,1.000,0.0
12883,25/12/2006,16:07:00,5.416,0.694,239.860,23.800,0.000,1.000,0.0
12892,25/12/2006,16:16:00,5.862,0.640,237.390,24.800,39.000,0.000,0.0
12893,25/12/2006,16:17:00,5.892,0.656,238.420,24.800,38.000,0.000,0.0
12894,25/12/2006,16:18:00,6.426,0.634,238.310,27.200,39.000,0.000,0.0
12895,25/12/2006,16:19:00,5.862,0.644,238.600,24.600,39.000,0.000,0.0
12916,25/12/2006,16:40:00,6.168,0.358,239.020,26.000,68.000,0.000,0.0
12917,25/12/2006,16:41:00,6.540,0.354,238.490,27.400,77.000,0.000,0.0
12918,25/12/2006,16:42:00,5.718,0.352,238.810,24.000,76.000,0.000,0.0
